0x042A4: LINKS (Link Status register)                 0x70000080
       Link Status:                                   up
       Link Speed:                                    10G
0x05080: FCTRL (Filter Control register)              0x00000400
       Broadcast Accept:                              enabled
       Unicast Promiscuous:                           disabled
       Multicast Promiscuous:                         disabled
       Store Bad Packets:                             disabled
0x04294: MFLCN (TabMAC Flow Control register)         0x0000000A
       Receive Flow Control Packets:                  enabled
       Discard Pause Frames:                          enabled
       Pass MAC Control Frames:                       disabled
       Receive Priority Flow Control Packets:         disabled
0x05088: VLNCTRL (VLAN Control register)              0x48008100
       VLAN Mode:                                     disabled
       VLAN Filter:                                   enabled
0x02100: SRRCTL0 (Split and Replic Rx Control 0)      0x02000402
       Receive Buffer Size:                           2KB
0x03D00: FCCFG (Flow Control Configuration)           0x00000008
       Transmit Flow Control:                         enabled
       Priority Flow Control:                         disabled
0x04240: HLREG0 (Highlander Control 0 register)       0x08012FFF
       Transmit CRC:                                  enabled
       Receive CRC Strip:                             enabled
       Jumbo Frames:                                  enabled
       Pad Short Frames:                              enabled
       Loopback:                                      disabled
0x061BC: TDWBAH06    (Tx Desc Compl. WB Addr High 06) 0x00000000
0x061FC: TDWBAH07    (Tx Desc Compl. WB Addr High 07) 0x00000000
0x0623C: TDWBAH08    (Tx Desc Compl. WB Addr High 08) 0x00000000
0x0627C: TDWBAH09    (Tx Desc Compl. WB Addr High 09) 0x00000000
0x062BC: TDWBAH10    (Tx Desc Compl. WB Addr High 10) 0x00000000
0x062FC: TDWBAH11    (Tx Desc Compl. WB Addr High 11) 0x00000000
0x0633C: TDWBAH12    (Tx Desc Compl. WB Addr High 12) 0x00000000
0x0637C: TDWBAH13    (Tx Desc Compl. WB Addr High 13) 0x00000000
0x063BC: TDWBAH14    (Tx Desc Compl. WB Addr High 14) 0x00000000
0x063FC: TDWBAH15    (Tx Desc Compl. WB Addr High 15) 0x00000000
0x0643C: TDWBAH16    (Tx Desc Compl. WB Addr High 16) 0x00000000
0x0647C: TDWBAH17    (Tx Desc Compl. WB Addr High 17) 0x00000000
0x064BC: TDWBAH18    (Tx Desc Compl. WB Addr High 18) 0x00000000
0x064FC: TDWBAH19    (Tx Desc Compl. WB Addr High 19) 0x00000000
0x0653C: TDWBAH20    (Tx Desc Compl. WB Addr High 20) 0x00000000
0x0657C: TDWBAH21    (Tx Desc Compl. WB Addr High 21) 0x00000000
0x065BC: TDWBAH22    (Tx Desc Compl. WB Addr High 22) 0x00000000
0x065FC: TDWBAH23    (Tx Desc Compl. WB Addr High 23) 0x00000000
0x0663C: TDWBAH24    (Tx Desc Compl. WB Addr High 24) 0x00000000
0x0667C: TDWBAH25    (Tx Desc Compl. WB Addr High 25) 0x00000000
0x066BC: TDWBAH26    (Tx Desc Compl. WB Addr High 26) 0x00000000
0x066FC: TDWBAH27    (Tx Desc Compl. WB Addr High 27) 0x00000000
0x0673C: TDWBAH28    (Tx Desc Compl. WB Addr High 28) 0x00000000
0x0677C: TDWBAH29    (Tx Desc Compl. WB Addr High 29) 0x00000000
0x067BC: TDWBAH30    (Tx Desc Compl. WB Addr High 30) 0x00000000
0x067FC: TDWBAH31    (Tx Desc Compl. WB Addr High 31) 0x00000000
0x07E00: DTXCTL      (DMA Tx Control)                 0x00000000
0x07200: DCA_TXCTRL00 (Tx DCA Control 00)             0x00000000
0x07204: DCA_TXCTRL01 (Tx DCA Control 01)             0x00000000
0x07208: DCA_TXCTRL02 (Tx DCA Control 02)             0x00000000
0x0720C: DCA_TXCTRL03 (Tx DCA Control 03)             0x00002200
0x07210: DCA_TXCTRL04 (Tx DCA Control 04)             0x00000000
0x07214: DCA_TXCTRL05 (Tx DCA Control 05)             0x00000000
0x07218: DCA_TXCTRL06 (Tx DCA Control 06)             0x00000000
0x0721C: DCA_TXCTRL07 (Tx DCA Control 07)             0x00000000
0x07220: DCA_TXCTRL08 (Tx DCA Control 08)             0x00000000
0x07224: DCA_TXCTRL09 (Tx DCA Control 09)             0x00000000
0x07228: DCA_TXCTRL10 (Tx DCA Control 10)             0x00000000
0x0722C: DCA_TXCTRL11 (Tx DCA Control 11)             0x00000000
0x07230: DCA_TXCTRL12 (Tx DCA Control 12)             0x00000000
0x07234: DCA_TXCTRL13 (Tx DCA Control 13)             0x00030008
0x07238: DCA_TXCTRL14 (Tx DCA Control 14)             0x00000000
0x0723C: DCA_TXCTRL15 (Tx DCA Control 15)             0x00000000
0x0CC00: TXPBSIZE0   (Transmit Packet Buffer Size 0)  0x00028000
0x0CC04: TXPBSIZE1   (Transmit Packet Buffer Size 1)  0x00000000
0x0CC08: TXPBSIZE2   (Transmit Packet Buffer Size 2)  0x00000000
0x0CC0C: TXPBSIZE3   (Transmit Packet Buffer Size 3)  0x00000000
0x0CC10: TXPBSIZE4   (Transmit Packet Buffer Size 4)  0x00000000
0x0CC14: TXPBSIZE5   (Transmit Packet Buffer Size 5)  0x00000000
0x0CC18: TXPBSIZE6   (Transmit Packet Buffer Size 6)  0x00000000
0x0CC1C: TXPBSIZE7   (Transmit Packet Buffer Size 7)  0x00000000
0x0CD10: MNGTXMAP    (Manageability Tx TC Mapping)    0x00000000
0x05800: WUC         (Wake up Control)                0x00000010
0x05808: WUFC        (Wake Up Filter Control)         0x00000000
0x05810: WUS         (Wake Up Status)                 0x00000000
0x05838: IPAV        (IP Address Valid)               0x00000000
0x05840: IP4AT       (IPv4 Address Table)             0x00000000
0x05880: IP6AT       (IPv6 Address Table)             0x00000000
0x05900: WUPL        (Wake Up Packet Length)          0x00000000
0x05A00: WUPM        (Wake Up Packet Memory)          0x00003333
0x09000: FHFT        (Flexible Host Filter Table)     0x00000000
0x04900: RTTDCS      (Tx Descr Plane Ctrl&Status)     0x00C00000
0x0CD00: RTTPCS      (Tx Pkt Plane Ctrl&Status)       0x89000000
0x02430: RTRPCS      (Rx Packet Plane Ctrl&Status)    0x60000000
0x02140: RTRPT4C0    (Rx Packet Plane T4 Config 0)    0x00000000
0x02144: RTRPT4C1    (Rx Packet Plane T4 Config 1)    0x00000000
0x02148: RTRPT4C2    (Rx Packet Plane T4 Config 2)    0x00000000
0x0214C: RTRPT4C3    (Rx Packet Plane T4 Config 3)    0x00000000
0x02150: RTRPT4C4    (Rx Packet Plane T4 Config 4)    0x00000000
0x02154: RTRPT4C5    (Rx Packet Plane T4 Config 5)    0x00000000
0x02158: RTRPT4C6    (Rx Packet Plane T4 Config 6)    0x00000000
0x0215C: RTRPT4C7    (Rx Packet Plane T4 Config 7)    0x00000000
0x02160: RTRPT4S0    (Rx Packet Plane T4 Status 0)    0x00000000
0x02164: RTRPT4S1    (Rx Packet Plane T4 Status 1)    0x00000000
0x02168: RTRPT4S2    (Rx Packet Plane T4 Status 2)    0x00000000
0x0216C: RTRPT4S3    (Rx Packet Plane T4 Status 3)    0x00000000
0x02170: RTRPT4S4    (Rx Packet Plane T4 Status 4)    0x00000000
0x02174: RTRPT4S5    (Rx Packet Plane T4 Status 5)    0x00000000
0x02178: RTRPT4S6    (Rx Packet Plane T4 Status 6)    0x00000000
0x0217C: RTRPT4S7    (Rx Packet Plane T4 Status 7)    0x00000000
0x04910: RTTDT2C0    (Tx Descr Plane T2 Config 0)     0x00000000
0x04914: RTTDT2C1    (Tx Descr Plane T2 Config 1)     0x00000000
0x04918: RTTDT2C2    (Tx Descr Plane T2 Config 2)     0x00000000
0x0491C: RTTDT2C3    (Tx Descr Plane T2 Config 3)     0x00000000
0x04920: RTTDT2C4    (Tx Descr Plane T2 Config 4)     0x00000000
0x04924: RTTDT2C5    (Tx Descr Plane T2 Config 5)     0x00000000
0x04928: RTTDT2C6    (Tx Descr Plane T2 Config 6)     0x00000000
0x0492C: RTTDT2C7    (Tx Descr Plane T2 Config 7)     0x00000000
0x0CD20: RTTPT2C0    (Tx Packet Plane T2 Config 0)    0x00000000
0x0CD24: RTTPT2C1    (Tx Packet Plane T2 Config 1)    0x00000000
0x0CD28: RTTPT2C2    (Tx Packet Plane T2 Config 2)    0x00000000
0x0CD2C: RTTPT2C3    (Tx Packet Plane T2 Config 3)    0x00000000
0x0CD30: RTTPT2C4    (Tx Packet Plane T2 Config 4)    0x00000000
0x0CD34: RTTPT2C5    (Tx Packet Plane T2 Config 5)    0x00000000
0x0CD38: RTTPT2C6    (Tx Packet Plane T2 Config 6)    0x00000000
0x0CD3C: RTTPT2C7    (Tx Packet Plane T2 Config 7)    0x00000000
0x03020: RTRUP2TC    (Rx User Prio to Traffic Classes)0x00000000
0x0C800: RTTUP2TC    (Tx User Prio to Traffic Classes)0x00000000
0x082E0: TXLLQ0      (Strict Low Lat Tx Queues 0)     0x00000000
0x082E4: TXLLQ1      (Strict Low Lat Tx Queues 1)     0x00000000
0x082E8: TXLLQ2      (Strict Low Lat Tx Queues 2)     0x00000000
0x082EC: TXLLQ3      (Strict Low Lat Tx Queues 3)     0x00000000
0x04980: RTTQCNRM    (DCB TX QCN Rate Sched MMW)      0x00000000
0x0498C: RTTQCNRR    (DCB TX QCN Rate Reset)          0x00000000
0x04A90: RTTQCNTG    (DCB TX QCN Tagging)             0x00000000
0x04000: crcerrs     (CRC Error Count)                0x00000000
0x04004: illerrc     (Illegal Byte Error Count)       0x00000000
0x04008: errbc       (Error Byte Count)               0x00000000
0x04010: mspdc       (MAC Short Packet Discard Count) 0x00000000
0x03FA0: mpc0        (Missed Packets Count 0)         0x00000000
0x03FA4: mpc1        (Missed Packets Count 1)         0x00000000
0x03FA8: mpc2        (Missed Packets Count 2)         0x00000000
0x03FAC: mpc3        (Missed Packets Count 3)         0x00000000
0x03FB0: mpc4        (Missed Packets Count 4)         0x00000000
0x03FB4: mpc5        (Missed Packets Count 5)         0x00000000
0x03FB8: mpc6        (Missed Packets Count 6)         0x00000000
0x03FBC: mpc7        (Missed Packets Count 7)         0x00000000
0x04034: mlfc        (MAC Local Fault Count)          0x00000000
0x04038: mrfc        (MAC Remote Fault Count)         0x00000000
0x04040: rlec        (Receive Length Error Count)     0x00000000
0x03F60: lxontxc     (Link XON Transmitted Count)     0x00000000
0x0CF60: lxonrxc     (Link XON Received Count)        0x00000000
0x03F68: lxofftxc    (Link XOFF Transmitted Count)    0x00000000
0x0CF68: lxoffrxc    (Link XOFF Received Count)       0x00000000
0x03F00: pxontxc0    (Priority XON Tx Count 0)        0x00000000
0x03F04: pxontxc1    (Priority XON Tx Count 1)        0x00000000
0x03F08: pxontxc2    (Priority XON Tx Count 2)        0x00000000
0x03F0C: pxontxc3    (Priority XON Tx Count 3)        0x00000000
0x03F10: pxontxc4    (Priority XON Tx Count 4)        0x00000000
0x03F14: pxontxc5    (Priority XON Tx Count 5)        0x00000000
0x03F18: pxontxc6    (Priority XON Tx Count 6)        0x00000000
0x03F1C: pxontxc7    (Priority XON Tx Count 7)        0x00000000
0x0CF00: pxonrxc0    (Priority XON Received Count 0)  0x00000000
0x0CF04: pxonrxc1    (Priority XON Received Count 1)  0x00000000
0x0CF08: pxonrxc2    (Priority XON Received Count 2)  0x00000000
0x0CF0C: pxonrxc3    (Priority XON Received Count 3)  0x00000000
0x0CF10: pxonrxc4    (Priority XON Received Count 4)  0x00000000
0x0CF14: pxonrxc5    (Priority XON Received Count 5)  0x00000000
0x0CF18: pxonrxc6    (Priority XON Received Count 6)  0x00000000
0x0CF1C: pxonrxc7    (Priority XON Received Count 7)  0x00000000
0x03F20: pxofftxc0   (Priority XOFF Tx Count 0)       0x00000000
0x03F24: pxofftxc1   (Priority XOFF Tx Count 1)       0x00000000
0x03F28: pxofftxc2   (Priority XOFF Tx Count 2)       0x00000000
0x03F2C: pxofftxc3   (Priority XOFF Tx Count 3)       0x00000000
0x03F30: pxofftxc4   (Priority XOFF Tx Count 4)       0x00000000
0x03F34: pxofftxc5   (Priority XOFF Tx Count 5)       0x00000000
0x03F38: pxofftxc6   (Priority XOFF Tx Count 6)       0x00000000
0x03F3C: pxofftxc7   (Priority XOFF Tx Count 7)       0x00000000
0x0CF20: pxoffrxc0   (Priority XOFF Received Count 0) 0x00000000
0x0CF24: pxoffrxc1   (Priority XOFF Received Count 1) 0x00000000
0x0CF28: pxoffrxc2   (Priority XOFF Received Count 2) 0x00000000
0x0CF2C: pxoffrxc3   (Priority XOFF Received Count 3) 0x00000000
0x0CF30: pxoffrxc4   (Priority XOFF Received Count 4) 0x00000000
0x0CF34: pxoffrxc5   (Priority XOFF Received Count 5) 0x00000000
0x0CF38: pxoffrxc6   (Priority XOFF Received Count 6) 0x00000000
0x0CF3C: pxoffrxc7   (Priority XOFF Received Count 7) 0x00000000
0x0405C: prc64       (Packets Received (64B) Count)   0x00000000
0x04060: prc127      (Packets Rx (65-127B) Count)     0x00000037
0x04064: prc255      (Packets Rx (128-255B) Count)    0x0000001C
0x04068: prc511      (Packets Rx (256-511B) Count)    0x00000050
0x0406C: prc1023     (Packets Rx (512-1023B) Count)   0x00000001
0x04070: prc1522     (Packets Rx (1024-Max) Count)    0x00000000
0x04074: gprc        (Good Packets Received Count)    0x000000A4
0x04078: bprc        (Broadcast Packets Rx Count)     0x00000050
0x0407C: mprc        (Multicast Packets Rx Count)     0x00000054
0x04080: gptc        (Good Packets Transmitted Count) 0x0000015A
0x04088: gorcl       (Good Octets Rx Count Low)       0x00009994
0x0408C: gorch       (Good Octets Rx Count High)      0x00000000
0x04090: gotcl       (Good Octets Tx Count Low)       0x0000E02B
0x04094: gotch       (Good Octets Tx Count High)      0x00000000
0x03FC0: rnbc0       (Receive No Buffers Count 0)     0x00000000
0x03FC4: rnbc1       (Receive No Buffers Count 1)     0x00000000
0x03FC8: rnbc2       (Receive No Buffers Count 2)     0x00000000
0x03FCC: rnbc3       (Receive No Buffers Count 3)     0x00000000
0x03FD0: rnbc4       (Receive No Buffers Count 4)     0x00000000
0x03FD4: rnbc5       (Receive No Buffers Count 5)     0x00000000
0x03FD8: rnbc6       (Receive No Buffers Count 6)     0x00000000
0x03FDC: rnbc7       (Receive No Buffers Count 7)     0x00000000
0x040A4: ruc         (Receive Undersize count)        0x00000000
0x040A8: rfc         (Receive Fragment Count)         0x00000000
0x040AC: roc         (Receive Oversize Count)         0x00000000
0x040B0: rjc         (Receive Jabber Count)           0x00000000
0x040B4: mngprc      (Management Packets Rx Count)    0x00000000
0x040B8: mngpdc      (Management Pkts Dropped Count)  0x00000000
0x0CF90: mngptc      (Management Packets Tx Count)    0x00000000
0x040C0: torl        (Total Octets Rx Count Low)      0x0000D7E6
0x040C4: torh        (Total Octets Rx Count High)     0x00000000
0x040D0: tpr         (Total Packets Received)         0x00000149
0x040D4: tpt         (Total Packets Transmitted)      0x00000000
0x040D8: ptc64       (Packets Tx (64B) Count)         0x00000000
0x040DC: ptc127      (Packets Tx (65-127B) Count)     0x000000CC
0x040E0: ptc255      (Packets Tx (128-255B) Count)    0x0000003D
0x040E4: ptc511      (Packets Tx (256-511B) Count)    0x00000050
0x040E8: ptc1023     (Packets Tx (512-1023B) Count)   0x00000001
0x040EC: ptc1522     (Packets Tx (1024-Max) Count)    0x00000000
0x040F0: mptc        (Multicast Packets Tx Count)     0x0000010A
0x040F4: bptc        (Broadcast Packets Tx Count)     0x00000050
0x04120: xec         (XSUM Error Count)               0x00000000
0x01030: qprc00      (Queue Packets Rx Count 00)      0x000000A4
0x01070: qprc01      (Queue Packets Rx Count 01)      0x00000000
0x010B0: qprc02      (Queue Packets Rx Count 02)      0x00000000
0x010F0: qprc03      (Queue Packets Rx Count 03)      0x00000000
0x01130: qprc04      (Queue Packets Rx Count 04)      0x00000000
0x01170: qprc05      (Queue Packets Rx Count 05)      0x00000000
0x011B0: qprc06      (Queue Packets Rx Count 06)      0x00000000
0x011F0: qprc07      (Queue Packets Rx Count 07)      0x00000000
0x01230: qprc08      (Queue Packets Rx Count 08)      0x00000000
0x01270: qprc09      (Queue Packets Rx Count 09)      0x00000000
0x012B0: qprc10      (Queue Packets Rx Count 10)      0x00000000
0x012F0: qprc11      (Queue Packets Rx Count 11)      0x00000000
0x01330: qprc12      (Queue Packets Rx Count 12)      0x00000000
0x01370: qprc13      (Queue Packets Rx Count 13)      0x00000000
0x013B0: qprc14      (Queue Packets Rx Count 14)      0x00000000
0x013F0: qprc15      (Queue Packets Rx Count 15)      0x00000000
0x06030: qptc00      (Queue Packets Tx Count 00)      0x0000015A
0x06070: qptc01      (Queue Packets Tx Count 01)      0x00000000
0x060B0: qptc02      (Queue Packets Tx Count 02)      0x00000000
0x060F0: qptc03      (Queue Packets Tx Count 03)      0x00000000
0x06130: qptc04      (Queue Packets Tx Count 04)      0x00000000
0x06170: qptc05      (Queue Packets Tx Count 05)      0x00000000
0x061B0: qptc06      (Queue Packets Tx Count 06)      0x00000000
0x061F0: qptc07      (Queue Packets Tx Count 07)      0x00000000
0x06230: qptc08      (Queue Packets Tx Count 08)      0x00000000
0x06270: qptc09      (Queue Packets Tx Count 09)      0x00000000
0x062B0: qptc10      (Queue Packets Tx Count 10)      0x00000000
0x062F0: qptc11      (Queue Packets Tx Count 11)      0x00000000
0x06330: qptc12      (Queue Packets Tx Count 12)      0x00000000
0x06370: qptc13      (Queue Packets Tx Count 13)      0x00000000
0x063B0: qptc14      (Queue Packets Tx Count 14)      0x00000000
0x063F0: qptc15      (Queue Packets Tx Count 15)      0x00000000
0x01034: qbrc00      (Queue Bytes Rx Count 00)        0x00009704
0x01074: qbrc01      (Queue Bytes Rx Count 01)        0x00000000
0x010B4: qbrc02      (Queue Bytes Rx Count 02)        0x00000000
0x010F4: qbrc03      (Queue Bytes Rx Count 03)        0x00000000
0x01134: qbrc04      (Queue Bytes Rx Count 04)        0x00000000
0x01174: qbrc05      (Queue Bytes Rx Count 05)        0x00000000
0x011B4: qbrc06      (Queue Bytes Rx Count 06)        0x00000000
0x011F4: qbrc07      (Queue Bytes Rx Count 07)        0x00000000
0x01234: qbrc08      (Queue Bytes Rx Count 08)        0x00000000
0x01274: qbrc09      (Queue Bytes Rx Count 09)        0x00000000
0x012B4: qbrc10      (Queue Bytes Rx Count 10)        0x00000000
0x012F4: qbrc11      (Queue Bytes Rx Count 11)        0x00000000
0x01334: qbrc12      (Queue Bytes Rx Count 12)        0x00000000
0x01374: qbrc13      (Queue Bytes Rx Count 13)        0x00000000
0x013B4: qbrc14      (Queue Bytes Rx Count 14)        0x00000000
0x013F4: qbrc15      (Queue Bytes Rx Count 15)        0x00000000
0x06034: qbtc00      (Queue Bytes Tx Count 00)        0x0000DAC3
0x06074: qbtc01      (Queue Bytes Tx Count 01)        0x00000000
0x060B4: qbtc02      (Queue Bytes Tx Count 02)        0x00000000
0x060F4: qbtc03      (Queue Bytes Tx Count 03)        0x00000000
0x06134: qbtc04      (Queue Bytes Tx Count 04)        0x00000000
0x06174: qbtc05      (Queue Bytes Tx Count 05)        0x00000000
0x061B4: qbtc06      (Queue Bytes Tx Count 06)        0x00000000
0x061F4: qbtc07      (Queue Bytes Tx Count 07)        0x00000000
0x06234: qbtc08      (Queue Bytes Tx Count 08)        0x00000000
0x06274: qbtc09      (Queue Bytes Tx Count 09)        0x00000000
0x062B4: qbtc10      (Queue Bytes Tx Count 10)        0x00000000
0x062F4: qbtc11      (Queue Bytes Tx Count 11)        0x00000000
0x06334: qbtc12      (Queue Bytes Tx Count 12)        0x00000000
0x06374: qbtc13      (Queue Bytes Tx Count 13)        0x00000000
0x063B4: qbtc14      (Queue Bytes Tx Count 14)        0x00000000
0x063F4: qbtc15      (Queue Bytes Tx Count 15)        0x00000000
0x04244: HLREG1      (Highlander Status 1)            0x00000001
0x04248: PAP         (Pause and Pace)                 0x0000FFFF
0x0424C: MACA        (MDI Auto-Scan Command and Addr) 0x22000000
0x04250: APAE        (Auto-Scan PHY Address Enable)   0x00000000
0x04254: ARD         (Auto-Scan Read Data)            0x00000000
0x04258: AIS         (Auto-Scan Interrupt Status)     0x00000000
0x0425C: MSCA        (MDI Single Command and Addr)    0x0C070013
0x04260: MSRWD       (MDI Single Read and Write Data) 0x9D013200
0x04264: MLADD       (MAC Address Low)                0x00000000
0x04268: MHADD       (MAC Addr High/Max Frame size)   0x05EE0000
0x0426C: TREG        (Test Register)                  0x00040000
0x07C20: TDSTATCTL   (Tx DMA Statistic Control)       0x00000000
0x07C00: TDSTAT0     (Tx DMA Statistics 0)            0x00000000
0x07C04: TDSTAT1     (Tx DMA Statistics 1)            0x00000000
0x07C08: TDSTAT2     (Tx DMA Statistics 2)            0x00000000
0x07C0C: TDSTAT3     (Tx DMA Statistics 3)            0x00002200
0x07C10: TDSTAT4     (Tx DMA Statistics 4)            0x00000000
0x07C14: TDSTAT5     (Tx DMA Statistics 5)            0x00000000
0x07C18: TDSTAT6     (Tx DMA Statistics 6)            0x00000000
0x07C1C: TDSTAT7     (Tx DMA Statistics 7)            0x00000000
0x07F08: TDHMPN      (Tx Desc Handler Mem Page Num)   0x00000000
0x07F10: TIC_DW0     (Tx Desc Hand. Mem Read Data 0)  0x00000000
0x07F14: TIC_DW1     (Tx Desc Hand. Mem Read Data 1)  0x00000000
0x07F18: TIC_DW2     (Tx Desc Hand. Mem Read Data 2)  0x00000000
0x07F1C: TIC_DW3     (Tx Desc Hand. Mem Read Data 3)  0x00000000
0x07F20: TDPROBE     (Tx Probe Mode Status)           0x00000000
0x0C600: TXBUFCTRL   (TX Buffer Access Control)       0x00000000
0x0C610: TXBUFDATA0  (TX Buffer DATA 0)               0x00000000
0x0C614: TXBUFDATA1  (TX Buffer DATA 1)               0x00000000
0x0C618: TXBUFDATA2  (TX Buffer DATA 2)               0x00000000
0x0C61C: TXBUFDATA3  (TX Buffer DATA 3)               0x00000000
0x03600: RXBUFCTRL   (RX Buffer Access Control)       0x00000000
0x03610: RXBUFDATA0  (RX Buffer DATA 0)               0x00000000
0x03614: RXBUFDATA1  (RX Buffer DATA 1)               0x00000000
0x03618: RXBUFDATA2  (RX Buffer DATA 2)               0x00000000
0x0361C: RXBUFDATA3  (RX Buffer DATA 3)               0x00000000
0x11090: PCIE_DIAG0  (PCIe Diagnostic 0)              0x00000E83
0x11094: PCIE_DIAG1  (PCIe Diagnostic 1)              0xDEADBEAF
0x11098: PCIE_DIAG2  (PCIe Diagnostic 2)              0x00000000
0x1109C: PCIE_DIAG3  (PCIe Diagnostic 3)              0xDEADBEAF
0x110A0: PCIE_DIAG4  (PCIe Diagnostic 4)              0x00007397
0x110A4: PCIE_DIAG5  (PCIe Diagnostic 5)              0xDEADBEAF
0x110A8: PCIE_DIAG6  (PCIe Diagnostic 6)              0x00000000
0x110AC: PCIE_DIAG7  (PCIe Diagnostic 7)              0xDEADBEAF
0x050A4: RFVAL       (Receive Filter Validation)      0x00000000
0x08800: SECTXCTRL   (Security Tx Control)            0x00000001
0x08804: SECTXSTAT   (Security Tx Status)             0x00000001
0x08808: SECTXBUFFAF (Security Tx Buffer Almost Full) 0x00000250
0x08800: SECTXMINIFG (Security Tx Buffer Minimum IFG) 0x00001001
0x08800: SECRXCTRL   (Security Rx Control)            0x00000001
0x08800: SECRXSTAT   (Security Rx Status)             0x00000001
